ts,rpm,speed,throttle_pos,load,temp,manifold_pressure,intake_air_temp,maf
1558525364627,2925,57.1783716594,28.6274509804,38.8235294118,35,296.469939327,14,0.02380968
1558525365989,2918,57.1783716594,27.0588235294,36.4705882353,36,268.89134032,14,0.02380968
1558525367343,2903,57.1783716594,26.6666666667,34.5098039216,36,268.89134032,14,0.02380968
1558525368718,2890,56.5568676196,26.6666666667,32.9411764706,36,268.89134032,14,0.02380968
1558525370092,2878,56.5568676196,26.6666666667,32.5490196078,38,268.89134032,14,0.02380968
1558525371450,2865,55.9353635799,26.2745098039,32.1568627451,38,268.89134032,14,0.02380968
1558525372808,2854,55.9353635799,26.2745098039,31.7647058824,38,268.89134032,14,0.02380968
1558525374166,2832,55.3138595401,25.8823529412,31.7647058824,38,261.996690568,14,0.02380968
1558525375556,2815,55.3138595401,25.4901960784,31.3725490196,38,261.996690568,14,0.02380968
1558525376963,2782,54.6923555003,25.4901960784,30.9803921569,39,261.996690568,14,0.02380968
1558525378375,2785,54.6923555003,29.4117647059,33.7254901961,39,324.048538334,15,0.02380968
1558525379759,2784,54.6923555003,29.4117647059,36.862745098,39,324.048538334,15,0.02380968
1558525381117,2783,54.6923555003,29.4117647059,38.431372549,40,324.048538334,15,0.02380968
1558525382492,2792,54.6923555003,29.4117647059,39.2156862745,40,324.048538334,15,0.02380968
1558525383866,2802,54.6923555003,29.4117647059,39.6078431373,41,324.048538334,15,0.02380968
1558525385240,2801,54.6923555003,29.0196078431,40.0,41,317.153888582,15,0.02380968
1558525386599,2800,55.3138595401,28.6274509804,39.6078431373,41,255.102040816,15,0.02380968
1558525387957,2795,54.6923555003,23.137254902,34.5098039216,41,234.418091561,15,0.02380968
1558525389318,2780,54.0708514605,23.137254902,30.5882352941,41,234.418091561,15,0.02380968
1558525390704,2742,54.0708514605,23.137254902,29.0196078431,42,234.418091561,15,0.02380968
1558525392079,2717,53.4493474208,23.137254902,28.2352941176,43,234.418091561,15,0.02380968
1558525393518,2724,53.4493474208,23.137254902,27.8431372549,43,248.207391065,15,0.02380968
1558525394909,2723,53.4493474208,32.5490196078,35.2941176471,43,386.1003861,15,0.02380968
1558525396282,2769,54.0708514605,28.6274509804,40.3921568627,43,310.259238831,15,0.02380968
1558525397657,2794,54.6923555003,27.8431372549,38.8235294118,44,248.207391065,15,0.02380968
1558525399031,2785,54.6923555003,16.862745098,29.8039215686,44,158.576944291,15,0.02380968
1558525400389,2742,54.0708514605,16.862745098,22.7450980392,44,151.682294539,16,0.02380968
1558525401749,2706,52.827843381,16.862745098,18.8235294118,48,151.682294539,16,0.02380968
1558525403123,2652,52.2063393412,16.862745098,17.2549019608,44,151.682294539,16,0.02380968
1558525404498,2608,50.9633312617,24.7058823529,17.2549019608,44,248.207391065,16,0.02380968
1558525405887,2598,50.9633312617,20.7843137255,20.3921568627,45,213.734142306,16,0.02380968
1558525407297,2604,50.9633312617,22.7450980392,22.3529411765,45,227.523441809,16,0.02380968
1558525408684,2598,50.9633312617,24.3137254902,24.7058823529,45,241.312741313,16,0.02380968
1558525410075,2604,50.9633312617,23.9215686275,26.2745098039,46,227.523441809,16,0.02380968
1558525411449,2614,50.9633312617,22.7450980392,26.2745098039,46,227.523441809,16,0.02380968
1558525412827,2616,50.9633312617,22.7450980392,26.2745098039,46,220.628792057,16,0.02380968
1558525414198,2596,50.9633312617,17.2549019608,23.9215686275,46,158.576944291,16,0.02380968
1558525415555,2564,50.3418272219,18.8235294118,20.3921568627,46,213.734142306,16,0.02380968
1558525416930,2535,50.3418272219,24.3137254902,23.137254902,46,234.418091561,16,0.02380968
1558525418293,2557,50.3418272219,21.9607843137,25.4901960784,46,199.944842802,16,0.02380968
1558525419679,2544,49.7203231821,20.3921568627,24.3137254902,46,179.260893547,16,0.02380968
1558525421053,2525,49.0988191423,30.9803921569,25.4901960784,46,358.521787093,16,0.02380968
1558525422411,2526,49.7203231821,27.8431372549,33.7254901961,47,303.364589079,16,0.02380968
1558525423770,2552,49.7203231821,27.8431372549,36.862745098,47,303.364589079,16,0.02380968
1558525425128,2544,49.7203231821,27.8431372549,38.0392156863,47,289.575289575,16,0.02380968
1558525426502,2550,49.7203231821,24.7058823529,36.862745098,47,248.207391065,16,0.02380968
1558525427861,2537,49.7203231821,24.3137254902,34.1176470588,47,248.207391065,16,0.02380968
1558525429219,2520,49.7203231821,24.3137254902,32.1568627451,48,248.207391065,16,0.02380968
1558525430577,2513,49.0988191423,24.3137254902,31.7647058824,48,248.207391065,16,0.02380968
1558525431935,2492,49.0988191423,24.3137254902,31.7647058824,48,248.207391065,16,0.02380968
1558525433309,2497,49.0988191423,28.2352941176,33.3333333333,48,310.259238831,16,0.02380968
1558525434684,2491,49.0988191423,16.862745098,31.7647058824,48,151.682294539,16,0.02380968
1558525436046,2448,47.8558110628,16.862745098,24.3137254902,48,151.682294539,16,0.02380968
1558525437400,2386,46.6128029832,16.862745098,20.3921568627,48,144.787644788,16,0.02380968
1558525438758,2329,45.3697949037,16.862745098,18.431372549,48,144.787644788,16,0.02380968
1558525440132,2286,44.7482908639,24.7058823529,20.0,49,324.048538334,16,0.02380968
1558525441493,2300,44.7482908639,29.0196078431,36.862745098,48,193.05019305,16,0.02380968
1558525442864,2292,44.7482908639,16.862745098,29.0196078431,49,151.682294539,16,0.02380968
1558525444222,2220,43.5052827843,16.862745098,23.137254902,49,151.682294539,16,0.02380968
1558525445581,2132,41.640770665,16.862745098,20.3921568627,49,158.576944291,16,0.02380968
1558525446943,1405,39.1547545059,16.862745098,40.7843137255,49,248.207391065,17,0.02380968
1558525448346,978,34.8042262275,16.862745098,47.8431372549,49,268.89134032,17,0.02380968
1558525449736,869,29.8321939093,16.862745098,43.137254902,49,268.89134032,16,0.02380968
1558525451125,856,27.3461777502,16.862745098,43.5294117647,49,261.996690568,16,0.02380968
1558525452500,1131,26.7246737104,23.137254902,20.7843137255,49,296.469939327,16,0.02380968
1558525453890,1823,27.3461777502,27.0588235294,29.0196078431,49,448.152233867,16,0.02380968
1558525455280,1935,29.2106898695,25.8823529412,41.1764705882,49,330.943188086,16,0.02380968
1558525456639,2004,29.8321939093,27.8431372549,42.3529411765,49,344.73248759,16,0.02380968
1558525457996,2064,31.0752019888,27.8431372549,43.5294117647,49,441.257584115,16,0.02380968
1558525459358,2170,32.9397141081,40.0,56.4705882353,49,551.571980143,16,0.02380968
1558525460730,2340,35.4257302672,41.9607843137,67.0588235294,50,592.939878654,16,0.02380968
1558525462135,2525,37.9117464264,44.3137254902,74.1176470588,50,586.045228902,16,0.02380968
1558525463526,2705,41.0192666252,44.3137254902,77.6470588235,50,579.150579151,16,0.02380968
1558525464917,2840,43.5052827843,16.862745098,78.8235294118,51,351.627137341,16,0.02380968
1558525466290,2258,44.1267868241,56.4705882353,84.7058823529,50,661.886376172,16,0.02380968
1558525467663,2362,46.6128029832,56.0784313725,90.9803921569,51,599.834528406,16,0.02380968
